id,vertex,lat,lon,name,localityName,code,direction,description,locationType,locationSubType,wheelchairBoarding,routeIds,stopColorType,style,parentStationId,type
BKK_CSF00037,BKK:BKK_CSF00037,47.493422,19.043754,Várkert Bazár,1013,CSF00037,,q}z`H}jfsB?XGTKNOHO?sCk@OGKQGW?YDW~@_DHQNKdA]R?PHJTDZLdF,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800']}",,
BKK_CSF00001,BKK:BKK_CSF00001,47.486079,19.034561,Mihály utca,1118,CSF00001,,}ry`HawdsBNBNNFRBXCXGTONOBQCMOIUCYBYHSLOPC,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF01330,BKK:BKK_CSF01330,47.49296,19.082916,Teleki László tér,1086,CSF01330,,kyz`HwhnsBNFJPFT@XEXKPkG~HOJO@QGKQGUAYHsDBWHSLK~EqCXC^F,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '009EE3']}",,
BKK_CSF00006,BKK:BKK_CSF00006,47.489672,19.035809,Sánc utca,1016,CSF00006,,kgz`H}~dsBNNHT@ZCZWdAIPKLOBOCMKmBkCISEY@YHWLONEPBdCdA,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3']}",,
BKK_CSF01339,BKK:BKK_CSF01339,47.485548,19.06593,Ráday utca,1092,CSF01339,,soy`Hc{jsBNBNNFTBVCXGTONOBQCMOIUCYBWHULOPC,1,stop-area,False,[],OTHER,"{'colors': ['009EE3', 'E41F18']}",,
BKK_CSF00012,BKK:BKK_CSF00012,47.485383,19.040083,Búsuló Juhász (Citadella),1118,CSF00012,,ony`H{{esBJSNKP?NFJPFV@XEVuAtEIPOJQ@OIMOGW?YDYrAsE,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF00011,BKK:BKK_CSF00011,47.48795,19.036772,Szirtes út,1016,CSF00011,,a|y`HqbesBJRDV?XGVKPOHQAOIqB}BKQGY@YDWLQNGP?NJpBzB,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF01307,BKK:BKK_CSF01307,47.4964,19.083359,Dologház utca,1081,CSF01307,,us{`HqinsBLQPGPBNLJT@ZCZe@xBIROLOBQEQMOQG[?[F[v@kB,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', 'EE7203']}",,
BKK_CSF00082,BKK:BKK_CSF00082,47.49721,19.033698,Alagút utca,1013,CSF00082,,u{{`HmidsBOJQ@OIMOGW?[DWJS~F}GNKP?NFLPFV?XEVKR_G|G,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3']}",,
BKK_CSF00087,BKK:BKK_CSF00087,47.496825,19.032778,Krisztina tér,1013,CSF00087,,ws{`HokdsBFT@XEVs@pCIPMLOBQEKMIUCWC{B?C?cCB[HUPMPCPFLRt@nB,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '000000', '009EE3']}",,
BKK_CSF00073,BKK:BKK_CSF00073,47.499112,19.035839,Dísz tér,1014,CSF00073,,ca|`Ho`esBPDJNHT@VCXIRMLmFtCOBOCMKISEW@WFWJOfD{CJIL?dAF,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3', '824B00']}",,
BKK_CSF00077,BKK:BKK_CSF00077,47.494097,19.037967,Dózsa György tér,1016,CSF00077,,ec{`HgoesBNEP@LJHRDV?Va@`EEVKNOHO?oDk@OIMUEY@[FWNQlEsC,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '000000', '009EE3']}",,
BKK_CSF00076,BKK:BKK_CSF00076,47.495182,19.038529,"Palota út, gyorslift",1013,CSF00076,,{k{`H{oesBPBLNHTBXCXIRMNQBOCOOGSCYBYFUNONC,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3']}",,
BKK_CSF00105,BKK:BKK_CSF00105,47.490944,19.044464,Döbrentei tér,1016,CSF00105,,ojz`H}tfsBAVGTKNgFdFKFaBn@QBQGMQGY?[DYvHyTJQPIP@NJJRDZT`L,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '000000', '009EE3']}",,
